Date,Open,High,Low,Close
03/24/2022,"2,664.37","2,693.82","2,662.50","2,693.66"
03/23/2022,"2,713.73","2,713.73","2,663.68","2,664.37"
03/22/2022,"2,696.45","2,731.65","2,696.45","2,713.73"
03/21/2022,"2,705.81","2,725.21","2,679.79","2,696.45"
03/18/2022,"2,684.30","2,709.42","2,665.06","2,705.81"
03/17/2022,"2,657.99","2,684.73","2,641.68","2,684.30"
03/16/2022,"2,585.33","2,658.19","2,585.33","2,657.99"
03/15/2022,"2,547.15","2,587.05","2,547.15","2,585.33"
03/14/2022,"2,570.76","2,591.30","2,535.63","2,547.15"
03/11/2022,"2,596.37","2,620.39","2,569.99","2,570.76"
03/10/2022,"2,597.11","2,600.57","2,560.91","2,596.37"
03/09/2022,"2,526.22","2,610.02","2,526.22","2,597.11"
03/08/2022,"2,517.18","2,585.06","2,506.18","2,526.22"
03/07/2022,"2,615.47","2,615.47","2,516.43","2,517.18"
03/04/2022,"2,657.44","2,657.44","2,591.00","2,615.47"
03/03/2022,"2,679.60","2,691.29","2,638.59","2,657.44"
03/02/2022,"2,609.31","2,690.45","2,609.31","2,679.60"
03/01/2022,"2,661.48","2,666.67","2,591.31","2,609.31"
02/28/2022,"2,661.60","2,675.07","2,632.98","2,661.48"
02/25/2022,"2,588.87","2,662.62","2,585.41","2,661.60"
02/24/2022,"2,553.31","2,593.90","2,484.04","2,588.87"
02/23/2022,"2,596.25","2,620.60","2,550.23","2,553.31"
02/22/2022,"2,632.49","2,641.44","2,581.52","2,596.25"
02/18/2022,"2,644.31","2,669.27","2,625.53","2,632.49"
02/17/2022,"2,702.37","2,702.37","2,641.92","2,644.93"
02/16/2022,"2,695.08","2,710.61","2,678.87","2,702.37"
02/15/2022,"2,636.49","2,698.49","2,636.49","2,695.08"
02/14/2022,"2,647.46","2,669.00","2,620.88","2,636.49"
02/11/2022,"2,681.78","2,703.10","2,633.21","2,647.46"
02/10/2022,"2,721.54","2,745.70","2,668.70","2,681.78"
02/09/2022,"2,672.41","2,721.95","2,672.41","2,721.54"
02/08/2022,"2,622.81","2,676.37","2,622.81","2,672.41"
02/07/2022,"2,623.18","2,641.59","2,614.72","2,622.81"
02/04/2022,"2,618.86","2,643.31","2,588.00","2,623.18"
